Date,Open,High,Low,Close
1989-01-03,2515,2515,2515,2515
1989-01-04,2535,2535,2535,2535
1989-01-05,2462,2462,2462,2462
1989-01-06,2400,2400,2400,2400
1989-01-09,2390,2390,2390,2390
1989-01-10,2370,2370,2370,2370
1989-01-11,2345,2345,2345,2345
1989-01-12,2334,2334,2334,2334
1989-01-13,2361,2361,2361,2361
1989-01-16,2352,2352,2352,2352
1989-01-17,2380,2380,2380,2380
1989-01-18,2325,2325,2325,2325
1989-01-19,2300,2300,2300,2300
1989-01-20,2310,2310,2310,2310
1989-01-23,2292,2292,2292,2292
1989-01-24,2370,2370,2370,2370
1989-01-25,2340,2340,2340,2340
1989-01-26,2335,2335,2335,2335
1989-01-27,2322,2322,2322,2322
1989-01-30,2265,2265,2265,2265
1989-01-31,2250,2250,2250,2250
1989-02-01,2226,2226,2226,2226
1989-02-02,2210,2210,2210,2210
1989-02-03,2193,2193,2193,2193
1989-02-06,2150,2150,2150,2150
1989-02-07,2150,2150,2150,2150
1989-02-08,2220,2220,2220,2220
1989-02-09,2174,2174,2174,2174
1989-02-10,2160,2160,2160,2160
1989-02-13,2110,2110,2110,2110
1989-02-14,2135,2135,2135,2135
1989-02-15,2120,2120,2120,2120
1989-02-16,2127,2127,2127,2127
1989-02-17,2145,2145,2145,2145
1989-02-20,2130,2130,2130,2130
1989-02-21,2149,2149,2149,2149
1989-02-22,2200,2200,2200,2200
1989-02-23,2190,2190,2190,2190
1989-02-24,2162,2162,2162,2162
1989-02-27,2200,2200,2200,2200
1989-02-28,2183,2183,2183,2183
1989-03-01,2155,2155,2155,2155
1989-03-02,2195,2195,2195,2195
1989-03-03,2250,2250,2250,2250
1989-03-06,2230,2230,2230,2230
1989-03-07,2225,2225,2225,2225
1989-03-08,2235,2235,2235,2235
1989-03-09,2166,2166,2166,2166
1989-03-10,2090,2090,2090,2090
1989-03-13,2060,2060,2060,2060
1989-03-14,1975,1975,1975,1975
1989-03-15,2028,2028,2028,2028
1989-03-16,1977,1977,1977,1977
1989-03-17,2012,2012,2012,2012
1989-03-20,1905,1905,1905,1905
1989-03-21,1905,1905,1905,1905
1989-03-22,1925,1925,1925,1925
1989-03-23,1968,1968,1968,1968
1989-03-28,1998,1998,1998,1998
1989-03-29,1970,1970,1970,1970
1989-03-30,1928,1928,1928,1928
1989-03-31,1931,1931,1931,1931
1989-04-03,1950,1950,1950,1950
1989-04-04,1978,1978,1978,1978
1989-04-05,2008,2008,2008,2008
1989-04-06,2010,2010,2010,2010
1989-04-07,2051,2051,2051,2051
1989-04-10,1995,1995,1995,1995
1989-04-11,2040,2040,2040,2040
1989-04-12,2057,2057,2057,2057
1989-04-13,2050,2050,2050,2050
1989-04-14,2034,2034,2034,2034
1989-04-17,2135,2135,2135,2135
1989-04-18,2116,2116,2116,2116
1989-04-19,2098,2098,2098,2098
1989-04-20,2068,2068,2068,2068
1989-04-21,2117,2117,2117,2117
1989-04-24,2170,2170,2170,2170
1989-04-25,2171,2171,2171,2171
1989-04-26,2115,2115,2115,2115
1989-04-27,2132,2132,2132,2132
1989-04-28,2185,2185,2185,2185
1989-05-02,2140,2140,2140,2140
1989-05-03,2131,2131,2131,2131
1989-05-04,2145,2145,2145,2145
1989-05-05,2149,2149,2149,2149
1989-05-08,2177,2177,2177,2177
1989-05-09,2170,2170,2170,2170
1989-05-10,2160,2160,2160,2160
1989-05-11,2155,2155,2155,2155
1989-05-12,2221,2221,2221,2221
1989-05-15,2220,2220,2220,2220
1989-05-16,2225,2225,2225,2225
1989-05-17,2175,2175,2175,2175
1989-05-18,2175,2175,2175,2175
1989-05-19,2105,2105,2105,2105
1989-05-22,2075,2075,2075,2075
1989-05-23,1988,1988,1988,1988
1989-05-24,1968,1968,1968,1968
1989-05-25,2000,2000,2000,2000
1989-05-26,2013,2013,2013,2013
1989-05-30,1980,1980,1980,1980
1989-05-31,1926,1926,1926,1926
1989-06-01,1940,1940,1940,1940
1989-06-02,1924,1924,1924,1924
1989-06-05,1957,1957,1957,1957
1989-06-06,1902,1902,1902,1902
1989-06-07,1916,1916,1916,1916
1989-06-08,1862,1862,1862,1862
1989-06-09,1860,1860,1860,1860
1989-06-12,1827,1827,1827,1827
1989-06-13,1855,1855,1855,1855
1989-06-14,1880,1880,1880,1880
1989-06-15,1840,1840,1840,1840
1989-06-16,1865,1865,1865,1865
1989-06-19,1855,1855,1855,1855
1989-06-20,1864,1864,1864,1864
1989-06-21,1825,1825,1825,1825
1989-06-22,1855,1855,1855,1855
1989-06-23,1855,1855,1855,1855
1989-06-26,1850,1850,1850,1850
1989-06-27,1826,1826,1826,1826
1989-06-28,1792,1792,1792,1792
1989-06-29,1820,1820,1820,1820
1989-06-30,1810,1810,1810,1810
1989-07-03,1764,1764,1764,1764
1989-07-04,1777,1777,1777,1777
1989-07-05,1790,1790,1790,1790
1989-07-06,1780,1780,1780,1780
1989-07-07,1772,1772,1772,1772
1989-07-10,1760,1760,1760,1760
1989-07-11,1720,1720,1720,1720
1989-07-12,1720,1720,1720,1720
1989-07-13,1720,1720,1720,1720
1989-07-14,1685,1685,1685,1685
1989-07-17,1670,1670,1670,1670
1989-07-18,1713,1713,1713,1713
