Date,Open,High,Low,Close,Volume,OpenInt
1972-09-01,55.25,55.25,55.25,55.25,1,26
1972-09-05,56.3,56.9,56.3,56.7,29,69
1972-09-06,56.6,56.6,56.5,56.55,11,80
1972-09-07,56.1,56.1,56,56,16,90
1972-09-08,55.75,55.75,55.65,55.65,18,102
1972-09-11,54.2,54.2,54.2,54.2,20,110
1972-09-12,54.7,55,54.7,54.75,17,124
1972-09-13,54.75,55,54.4,54.5,19,130
1972-09-14,55.2,55.5,55.2,55.2,19,148
1972-09-15,55.6,55.6,55.6,55.6,6,132
1972-09-18,55.6,55.9,55.6,55.9,6,157
1972-09-19,55.85,55.85,55.8,55.8,54,181
1972-09-20,55.5,55.5,55.3,55.3,14,192
1972-09-21,55.3,55.4,55.25,55.35,17,209
1972-09-22,55.65,55.8,55.65,55.8,22,219
1972-09-25,55.85,55.85,55.85,55.85
1972-09-26,55.4,55.4,55.2,55.3,5,224
1972-09-27,55.5,55.55,55.5,55.55,13,228
1972-09-28,55.6,55.85,55.6,55.85,19,239
1972-09-29,55.95,56,55.95,56,8,243
1972-10-02,56.25,56.25,56.25,56.25,4,247
1972-10-03,56.2,56.5,56.2,56.5,16,254
1972-10-04,56.2,56.2,56.1,56.2,6,254
1972-10-05,56.6,56.6,56.5,56.6,20,261
1972-10-06,56.6,56.65,56.5,56.65,6,259
1972-10-10,56.75,56.75,56.75,56.75,1,260
1972-10-11,56.73,56.73,56.73,56.73,34,286
1972-10-12,56.45,56.45,56.45,56.45,1,286
1972-10-13,56.4,56.4,56.35,56.4,22,295
1972-10-16,56.55,56.65,56.55,56.55,10,305
1972-10-17,56.5,56.5,56.5,56.5,5,309
1972-10-18,56,56,56,56
1972-10-19,56,56,56,56
1972-10-20,56.15,56.15,56.15,56.15,2,303
1972-10-24,56.35,56.35,56.35,56.35
1972-10-25,55.75,55.75,55.75,55.75
1972-10-26,56,56,55.75,55.75,12,306
1972-10-27,55.75,55.95,55.75,55.8,14,311
1972-10-30,55.9,55.9,55.9,55.9,2,315
1972-10-31,55,55,55,55
1972-11-01,55,55,55,55
1972-11-02,55,55,55,55
1972-11-03,55.65,55.65,55.65,55.65,11,322
1972-11-06,55.75,55.75,55.75,55.75
1972-11-08,55,55,55,55,4,322
1972-11-09,55.5,55.5,55.5,55.5,5,325
1972-11-10,55,55,55,55,3,325
1972-11-13,55.6,55.6,55.6,55.6,16,337
1972-11-14,55.5,55.5,55.5,55.5,10,332
1972-11-15,55,55,55,55,20,350
1972-11-16,55.25,55.25,55.25,55.25,30,365
1972-11-17,55.65,56.18,55.65,55.65,103,447
1972-11-20,56.4,56.46,56.35,56.35,127,486
1972-11-21,56.64,57.07,56.49,57.07,145,582
1972-11-22,56.5,56.5,56.25,56.5,126,640
1972-11-24,56.7,57.39,54.7,57.39,151,681
1972-11-27,58.25,58.25,57.5,57.5,161,723
1972-11-28,57.35,58.6,57.35,58.6,206,809
1972-11-29,58.85,60,58.85,59.95,568,1090
1972-11-30,59.95,60,59.25,59.7,292,1207
1972-12-01,59.75,60.3,59.75,60.25,383,1396
1972-12-04,60.1,60.3,60,60.25,103,1456
1972-12-05,60.3,60.3,60.1,60.2,121,1494
1972-12-06,60.4,60.41,59.75,59.81,98,1550
1972-12-07,59.9,59.9,58.4,59.4,225,1575
1972-12-08,59.3,59.6,59.1,59.2,157,1665
1972-12-11,58.95,58.95,58.75,58.75,77,1688
1972-12-12,59.1,59.4,58.95,59.25,353,1800
1972-12-13,59.25,59.4,59.2,59.3,257,1922
1972-12-14,59.4,59.5,59.2,59.2,291,2031
1972-12-15,59,59.6,58.75,59.6,458,2246
1972-12-18,59.75,60.45,59.75,60.45,215,2328
1972-12-19,60.75,61.1,60.75,60.75,499,2445
1972-12-20,60.9,60.9,60.5,60.7,340,2627
1972-12-21,60.65,60.75,60.4,60.74,407,2821
1972-12-22,60.74,60.74,60.74,60.74
1972-12-26,60.95,61.06,60.75,61.06,534,2816
1972-12-27,61.1,61.25,61.1,61.24,396,2879
1972-12-29,61.2,61.25,60.6,60.9,236,2939
1973-01-02,61.15,61.25,60.95,61.15,182,3019
1973-01-03,61.3,61.5,61.02,61.15,364,3194
1973-01-04,61.15,62,61.15,61.95,364,3394
1973-01-05,62.25,63.65,62.25,63.5,967,3705
1973-01-08,63.95,65.45,62.1,63.55,1240,4279
1973-01-09,63.8,65.45,63.8,65.45,1261,4593
1973-01-10,66.25,67.35,65.9,67.3,1807,5263
1973-01-11,68.2,68.55,65.3,65.3,1538,5807
1973-01-12,63.3,63.3,63.3,63.3,424,5634
1973-01-15,61.7,63,61.4,61.9,2156,5693
1973-01-16,62.25,63,61.45,63,1449,5640
1973-01-17,64.2,64.9,63.95,64.9,1386,5758
1973-01-18,65.6,66.75,64,66.5,1688,5703
1973-01-19,66.4,66.5,65.4,66,1021,5966
1973-01-22,66,66.15,64.3,64.75,595,5991
1973-01-23,64,64.7,63.85,63.9,458,6103
