Date,Open,High,Low,Close,Volume,OpenInt
1977-01-03,51.25,51.25,51.25,51.25,5,457
1977-01-04,51.8,51.8,51.8,51.8,4,457
1977-01-05,51.2,51.25,51.2,51.25,5,453
1977-01-06,51.75,51.9,51.75,51.9,20,450
1977-01-07,53,53,53,53,11,450
1977-01-10,52.5,52.5,52.25,52.25,4,447
1977-01-11,52,52,52,52,2,488
1977-01-12,52.25,52.25,52.25,52.25,1,448
1977-01-13,53.5,53.5,52.75,53.5,127,534
1977-01-14,53.05,54.5,53.05,54.5,63,541
1977-01-17,54.5,54.8,54.5,54.5,19,552
1977-01-18,54.85,55.2,54.7,55,46,571
1977-01-19,54.9,56.9,54.9,55.5,126,555
1977-01-20,56.5,57.5,56.5,57.5,27,561
1977-01-21,58,58.5,57.5,58,47,551
1977-01-24,58.1,59.5,58.1,58.5,89,575
1977-01-25,58.5,59,58,59,43,580
1977-01-26,58.2,59,58.05,59,44,583
1977-01-27,59,59,58.5,59,21,587
1977-01-28,58.4,58.5,58,58.5,22,590
1977-01-31,58.35,58.35,58.35,58.35,15,599
1977-02-01,58.4,58.4,57.15,58,79,576
1977-02-02,57.55,58.1,57.5,58.1,61,584
1977-02-03,58.5,59.5,58.5,59.5,62,585
1977-02-04,59,59.1,59,59.05,13,573
1977-02-07,59.4,59.5,59.25,59.25,29,586
1977-02-08,59,59.25,58.75,59.25,26,586
1977-02-09,59.8,59.8,59.25,59.25,17,589
1977-02-10,59,59,58.5,58.95,26,593
1977-02-11,58.6,58.6,58.2,58.5,33,581
1977-02-14,58.5,58.5,58.35,58.35,10,585
1977-02-15,58.25,58.25,57.8,57.8,120,604
1977-02-16,57.8,57.9,57.3,57.9,54,592
1977-02-17,57.7,58.25,57.7,58.25,13,600
1977-02-18,58.15,58.15,58.15,58.15,1,600
1977-02-22,58.35,58.4,58.25,58.25,42,600
1977-02-23,58.25,58.7,58.25,58.6,53,609
1977-02-24,58.5,58.7,58,58.55,33,610
1977-02-25,58.4,58.5,58.15,58.5,35,621
1977-02-28,58.6,59.3,58.6,59.3,87,654
1977-03-01,59.25,59.25,58.9,58.9,13,660
1977-03-02,59.5,59.8,59,59,42,662
1977-03-03,59,59.05,58.7,59.05,106,676
1977-03-04,59.05,59.3,59.05,59.1,38,685
1977-03-07,59.1,59.2,58.8,58.8,89,695
1977-03-08,59.2,59.2,58.5,58.5,65,680
1977-03-09,58.4,58.4,58.35,58.35,15,685
1977-03-10,58.35,58.35,57.65,57.75,61,686
1977-03-11,57.5,57.7,56.15,56.2,88,672
1977-03-14,56.1,56.75,56.1,56.75,97,649
1977-03-15,57.1,57.1,57.1,57.1,12,571
1977-03-16,57.1,57.1,56.95,57,12,557
1977-03-17,57,57,56.8,56.8,14,561
1977-03-18,57,57.3,57,57,21,575
1977-03-21,56.75,56.75,56.75,56.75,8,583
1977-03-22,57,57,57,57,11,590
1977-03-23,56.85,56.85,56.85,56.85,7,594
1977-03-24,56.85,57,56.85,56.85,15,590
1977-03-25,57,57,56.5,56.5,13,598
1977-03-28,56.05,56.05,56,56,7,596
1977-03-29,55.5,55.5,55.05,55.2,31,596
1977-03-30,55.3,55.3,55.3,55.3
1977-03-31,55.3,55.5,55.3,55.5,5,588
1977-04-01,55.25,56.2,55.25,55.75,9,592
1977-04-04,55.5,55.6,55.5,55.6,7,596
1977-04-05,55.1,55.9,55.1,55.75,12,598
1977-04-06,56.25,56.25,55,55,19,596
1977-04-07,54.75,54.75,54.2,54.3,19,591
1977-04-11,55,55,54.5,54.6,14,598
1977-04-12,54.7,55.05,54.7,54.95,23,602
1977-04-13,55,55.3,55,55.1,10,606
1977-04-14,55,55.2,54.8,54.8,77,619
1977-04-15,54.8,55,54.75,55,18,621
1977-04-18,54.5,55,54.5,54.85,18,615
1977-04-19,55,55,54.75,54.8,9,615
1977-04-20,54.3,54.3,54.3,54.3,5,615
1977-04-21,53,54,53,53.4,32,614
1977-04-22,54.2,54.2,53.75,53.85,19,610
1977-04-25,53.9,53.9,53.5,53.5,17,606
1977-04-26,53.05,53.2,53.05,53.1,31,590
1977-04-27,53.1,53.3,53.1,53.3,14,590
1977-04-28,53.05,53.7,53.05,53.65,20,590
1977-04-29,53.75,53.75,53.6,53.75,4,590
1977-05-02,53.6,53.6,53.6,53.6,2,592
1977-05-03,53.65,53.8,53.65,53.8,20,593
1977-05-04,53.8,53.85,53.55,53.65,15,588
