Date,Open,High,Low,Close
1984-01-02,0.045,0.045,0.045,0.045
1984-01-09,0.0454,0.0454,0.0454,0.0454
1984-01-16,0.0457,0.0457,0.0457,0.0457
1984-01-23,0.0457,0.0457,0.0457,0.0457
1984-01-30,0.0458,0.0458,0.0458,0.0458
1984-02-06,0.0458,0.0458,0.0458,0.0458
1984-02-13,0.046,0.046,0.046,0.046
1984-02-20,0.0458,0.0458,0.0458,0.0458
1984-03-01,0.0459,0.0459,0.0459,0.0459
1984-03-05,0.0459,0.0459,0.0459,0.0459
1984-03-12,0.0478,0.0478,0.0478,0.0478
1984-03-19,0.0477,0.0477,0.0477,0.0477
1984-03-26,0.0477,0.0477,0.0477,0.0477
1984-04-02,0.0479,0.0479,0.0479,0.0479
1984-04-09,0.0478,0.0478,0.0478,0.0478
1984-04-16,0.0479,0.0479,0.0479,0.0479
1984-04-24,0.0482,0.0482,0.0482,0.0482
1984-05-02,0.0482,0.0482,0.0482,0.0482
1984-05-07,0.0482,0.0482,0.0482,0.0482
1984-05-14,0.048,0.048,0.048,0.048
1984-05-21,0.0477,0.0477,0.0477,0.0477
1984-05-28,0.0473,0.0473,0.0473,0.0473
1984-06-04,0.0477,0.0477,0.0477,0.0477
1984-06-11,0.048,0.048,0.048,0.048
1984-06-18,0.0475,0.0475,0.0475,0.0475
1984-06-25,0.0474,0.0474,0.0474,0.0474
1984-07-02,0.0471,0.0471,0.0471,0.0471
1984-07-09,0.0469,0.0469,0.0469,0.0469
1984-07-16,0.0467,0.0467,0.0467,0.0467
1984-07-23,0.0469,0.0469,0.0469,0.0469
1984-07-30,0.0464,0.0464,0.0464,0.0464
1984-08-06,0.047,0.047,0.047,0.047
1984-08-13,0.0473,0.0473,0.0473,0.0473
1984-08-20,0.0476,0.0476,0.0476,0.0476
1984-08-27,0.0478,0.0478,0.0478,0.0478
1984-09-01,0.0479,0.0479,0.0479,0.0479
1984-09-10,0.0482,0.0482,0.0482,0.0482
1984-09-17,0.0481,0.0481,0.0481,0.0481
1984-09-24,0.048,0.048,0.048,0.048
1984-10-01,0.0484,0.0484,0.0484,0.0484
1984-10-08,0.0484,0.0484,0.0484,0.0484
1984-10-15,0.0484,0.0484,0.0484,0.0484
1984-10-22,0.0485,0.0485,0.0485,0.0485
1984-10-29,0.0491,0.0491,0.0491,0.0491
1984-11-05,0.0492,0.0492,0.0492,0.0492
1984-11-12,0.0494,0.0494,0.0494,0.0494
1984-11-19,0.0496,0.0496,0.0496,0.0496
