Date,Open,High,Low,Close,Volume,OpenInt
1984-05-03,1142,1146.5,1140.5,1142,1277,294
1984-05-04,1125.5,1136,1125.5,1125.5,694,364
1984-05-08,1100.5,1117,1099,1100.5,702,422
1984-05-09,1093,1110.5,1090,1093,609,403
1984-05-10,1080,1083,1069,1080,1182,481
1984-05-11,1058,1072,1054,1058,755,530
1984-05-14,1066.5,1072,1055,1066.5,503,573
1984-05-15,1078.5,1079,1069,1078.5,508,571
1984-05-16,1084,1090,1079.5,1084,564,547
1984-05-17,1091,1101,1091,1091,406,519
1984-05-18,1081.5,1086,1075,1081.5,616,674
1984-05-21,1085.5,1087,1080.5,1085.5,359,672
1984-05-22,1067.5,1078,1063.5,1067.5,762,806
1984-05-23,1053.5,1072.5,1052,1053.5,1065,962
1984-05-24,1043.5,1053.5,1036,1043.5,1180,1194
1984-05-25,1045.5,1053,1032,1045.5,731,1170
1984-05-29,1046,1059,1046,1046,343,1148
1984-05-30,1023.5,1042,1023.5,1023.5,966,1318
1984-05-31,1017.5,1042.5,1006.5,1017.5,1445,1383
1984-06-01,1041,1042.5,1027,1041,1054,1244
1984-06-04,1068,1069,1049,1068,1111,1201
1984-06-05,1066,1068.5,1053,1066,1322,1006
1984-06-06,1072,1077,1067.5,1072,719,1122
1984-06-07,1061,1075,1059.5,1061,943,985
1984-06-08,1060,1060.5,1049.5,1060,605,946
1984-06-11,1068.5,1072,1065.5,1068.5,374,1045
1984-06-12,1057.5,1060,1049,1057.5,720,1113
1984-06-13,1060,1060,1051,1060,426,1065
1984-06-14,1045.5,1054,1044.5,1045.5,741,1010
1984-06-15,1042.5,1045,1029,1042.5,729,1022
1984-06-18,1039,1043.5,1031,1039,431,1059
1984-06-19,1050,1055,1048.5,1050,658,1092
1984-06-20,1033.5,1048,1032,1033.5,727,1085
1984-06-21,1037.5,1045,1034,1037.5,343,1064
1984-06-22,1029,1034,1027,1029,376,1107
1984-06-25,1031,1032.5,1029,1031,409,1219
1984-06-26,1024,1026,1023,1024,737,1297
1984-06-27,1039,1039,1025.5,1039,401,1248
1984-06-28,1031,1039,1030,1031,552,1330
1984-06-29,1030,1035,1018,1030,282,1367
1984-07-02,1038.5,1038.5,1030,1038.5,167,1012
1984-07-03,1039,1041,1031.5,1039,410,1069
1984-07-04,1053,1057,1044,1053,462,1003
1984-07-05,1051.5,1056,1046,1051.5,317,990
1984-07-06,1035,1047,1032,1035,525,940
1984-07-09,1028,1031,1017,1028,540,1046
1984-07-10,1009,1028.5,1008.5,1009,724,974
1984-07-11,998.5,1001,991,998.5,499,986
1984-07-12,990.5,996,975,990.5,734,1057
1984-07-13,994.5,999.5,984,994.5,754,1026
1984-07-16,1000,1004.5,990,1000,348,946
1984-07-17,1004,1005,997.5,1004,352,960
1984-07-18,1001.5,1009.5,999,1001.5,540,934
1984-07-19,997,999,990,997,421,1003
1984-07-20,1005.5,1011,1000,1005.5,240,980
1984-07-23,983,1003,982,983,662,1026
1984-07-24,992,992.5,977.5,992,662,1101
1984-07-25,993.5,996,982,993.5,266,1087
1984-07-26,1002,1005,997.5,1002,488,1060
1984-07-27,992,1002,989.5,992,615,1024
1984-07-30,989.5,995,984.5,989.5,333,1042
1984-07-31,1009,1009,986,1009,295,1054
1984-08-01,1018,1019,1001,1018,482,1005
1984-08-02,1034,1034.5,1023,1034,826,942
1984-08-03,1057,1064,1046,1057,497,1013
1984-08-06,1049,1062.5,1044,1049,305,1014
1984-08-07,1059.5,1061,1042,1059.5,593,1063
1984-08-08,1081.5,1083,1060,1081.5,836,986
1984-08-09,1071,1080,1065,1071,443,1041
1984-08-10,1094,1101,1084.5,1094,795,1076
1984-08-13,1084.5,1097,1082,1084.5,393,1034
1984-08-14,1093,1095,1085,1093,302,1072
1984-08-15,1080,1095,1080,1080,549,1118
1984-08-16,1074,1077,1067,1074,374,1072
1984-08-17,1075.5,1075.5,1067.5,1075.5,213,1035
1984-08-20,1072.5,1077.5,1067.5,1072.5,196,1029
1984-08-21,1085,1085,1073,1085,188,1042
1984-08-22,1087.5,1095,1086,1087.5,339,1021
1984-08-23,1077,1082.5,1076,1077,453,1018
1984-08-24,1083,1083.5,1074,1083,342,1004
1984-08-28,1076,1082,1075,1076,375,1009
1984-08-29,1092,1092,1078,1092,336,952
1984-08-30,1095.5,1101,1087,1095.5,523,1004
1984-08-31,1100.5,1105,1095,1100.5,262,979
1984-09-03,1101,1104,1099,1101,142,974
1984-09-04,1080.5,1095,1078,1080.5,276,979
1984-09-05,1074,1074,1068.5,1074,334,978
1984-09-06,1089,1089.5,1078.5,1089,671,1025
1984-09-07,1089,1095,1087,1089,489,1026
1984-09-10,1081,1088.5,1081,1081,342,1077
1984-09-11,1092,1092,1083,1092,264,1111
1984-09-12,1094,1095,1091,1094,439,1214
1984-09-13,1094.5,1099,1094.5,1094.5,432,1211
1984-09-14,1101,1103,1098,1101,340,1125
1984-09-17,1100,1106,1095,1100,287,1113
1984-09-18,1101,1103,1096,1101,189,1153
1984-09-19,1119,1120,1100,1119,491,1078
1984-09-20,1131,1136,1121,1131,717,1156
1984-09-21,1128,1133,1123,1128,517,1009
1984-09-24,1119,1128,1114,1119,192,1016
1984-09-25,1123,1123,1117,1123,337,973
1984-09-26,1133,1133,1125,1133,295,937
1984-09-27,1145,1145.5,1136,1145,205,905
1984-09-28,1136,1150,1136,1136,161,628
1984-10-01,1123.5,1133,1123,1123.5,243,637
1984-10-02,1119,1120,1108,1119,250,684
1984-10-03,1119,1128.5,1119,1119,294,701
1984-10-04,1123,1124,1111,1123,227,704
1984-10-05,1133.5,1135.5,1128.5,1133.5,234,689
1984-10-08,1133,1140,1131,1133,274,710
1984-10-09,1130,1138,1128,1130,203,724
1984-10-10,1130.5,1135.5,1126.5,1130.5,173,736
1984-10-11,1138.5,1139.5,1132,1138.5,339,727
1984-10-12,1141,1150,1136.5,1141,370,755
1984-10-15,1142.5,1146.5,1141,1142.5,221,758
1984-10-16,1123.5,1130,1122,1123.5,444,772
1984-10-17,1102.5,1117,1102.5,1102.5,463,747
1984-10-18,1090.5,1096.5,1080,1090.5,656,780
1984-10-19,1112.5,1113,1096,1112.5,418,718
1984-10-22,1117.5,1118,1110,1117.5,259,683
1984-10-23,1125,1126,1117,1125,272,686
1984-10-24,1126.5,1135,1126.5,1126.5,308,731
1984-10-25,1129.5,1134.5,1127.5,1129.5,254,731
1984-10-26,1129,1129.5,1126,1129,148,738
1984-10-29,1135.5,1136,1126,1135.5,188,707
1984-10-30,1143,1144,1137,1143,297,731
1984-10-31,1149.5,1155,1148.5,1149.5,365,650
1984-11-01,1156,1156,1145,1156,282,731
1984-11-02,1170,1174,1161,1170,407,739
1984-11-05,1168,1172.5,1167,1168,237,777
1984-11-06,1164,1175,1159.5,1164,396,769
1984-11-07,1158.5,1168,1158,1158.5,337,817
1984-11-08,1160.5,1164,1153,1160.5,219,817
1984-11-09,1164.5,1165,1155.5,1164.5,214,820
1984-11-12,1177,1179.5,1167.5,1177,330,851
1984-11-13,1184,1188.5,1178,1184,446,916
1984-11-14,1181.5,1185,1175,1181.5,293,890
1984-11-15,1172.5,1181,1172,1172.5,253,932
1984-11-16,1179.5,1180,1170,1179.5,168,964
1984-11-19,1171,1173,1168.5,1171,200,943
1984-11-20,1165.5,1169.5,1163,1165.5,207,923
1984-11-21,1167.5,1172,1166,1167.5,249,921
1984-11-22,1164.5,1174,1164,1164.5,251,933
1984-11-23,1164,1165,1158.5,1164,162,933
1984-11-26,1178,1178,1170.5,1178,301,866
1984-11-27,1183.5,1185,1174,1183.5,263,848
1984-11-28,1185,1191,1182.5,1185,203,845
1984-11-29,1182.5,1184,1180,1182.5,162,837
1984-11-30,1179,1181,1172.5,1179,231,871
1984-12-03,1186,1190.5,1186,1186,181,898
1984-12-04,1179,1188,1177,1179,254,899
1984-12-05,1178,1183,1172,1178,331,890
1984-12-06,1173,1173.5,1167.5,1173,440,936
1984-12-07,1182,1182.5,1178,1182,289,987
1984-12-10,1193.5,1194,1180.5,1193.5,418,996
1984-12-11,1195,1199.5,1192.5,1195,471,1056
1984-12-12,1191,1197,1190.5,1191,270,1113
1984-12-13,1194,1197,1189,1194,218,1131
1984-12-14,1205,1205,1199.5,1205,361,1162
