Date,Open,High,Low,Close
1989-07-03,9950,9950,9950,9950
1989-07-04,9975,9975,9975,9975
1989-07-05,10000,10000,10000,10000
1989-07-06,10050,10050,10050,10050
1989-07-07,10000,10000,10000,10000
1989-07-10,9945,9945,9945,9945
1989-07-11,9900,9900,9900,9900
1989-07-12,9825,9825,9825,9825
1989-07-13,9860,9860,9860,9860
1989-07-14,9830,9830,9830,9830
1989-07-17,9720,9720,9720,9720
1989-07-18,9480,9480,9480,9480
1989-07-19,9420,9420,9420,9420
1989-07-20,9455,9455,9455,9455
1989-07-21,9560,9560,9560,9560
1989-07-24,9555,9555,9555,9555
1989-07-25,9650,9650,9650,9650
1989-07-26,9710,9710,9710,9710
1989-07-27,9705,9705,9705,9705
1989-07-28,9625,9625,9625,9625
1989-07-31,9505,9505,9505,9505
1989-08-01,9640,9640,9640,9640
1989-08-02,9635,9635,9635,9635
1989-08-03,9560,9560,9560,9560
1989-08-04,9465,9465,9465,9465
1989-08-07,9280,9280,9280,9280
1989-08-08,9280,9280,9280,9280
1989-08-09,9310,9310,9310,9310
1989-08-10,9050,9050,9050,9050
1989-08-11,8970,8970,8970,8970
1989-08-14,8950,8950,8950,8950
1989-08-15,8700,8700,8700,8700
1989-08-16,8790,8790,8790,8790
1989-08-17,8675,8675,8675,8675
1989-08-18,8550,8550,8550,8550
1989-08-21,8030,8030,8030,8030
1989-08-22,8300,8300,8300,8300
1989-08-23,8530,8530,8530,8530
1989-08-24,8380,8380,8380,8380
1989-08-25,8375,8375,8375,8375
1989-08-29,8550,8550,8550,8550
1989-08-30,8550,8550,8550,8550
1989-08-31,8650,8650,8650,8650
1989-09-01,8690,8690,8690,8690
1989-09-04,8680,8680,8680,8680
1989-09-05,8650,8650,8650,8650
1989-09-06,8700,8700,8700,8700
1989-09-07,8725,8725,8725,8725
1989-09-08,8770,8770,8770,8770
1989-09-11,8700,8700,8700,8700
1989-09-12,8540,8540,8540,8540
1989-09-13,8280,8280,8280,8280
1989-09-14,8200,8200,8200,8200
1989-09-15,8220,8220,8220,8220
1989-09-18,8240,8240,8240,8240
1989-09-19,8210,8210,8210,8210
1989-09-20,8200,8200,8200,8200
1989-09-21,8170,8170,8170,8170
1989-09-22,8200,8200,8200,8200
1989-09-25,8130,8130,8130,8130
1989-09-26,8180,8180,8180,8180
1989-09-27,8230,8230,8230,8230
1989-09-28,8230,8230,8230,8230
1989-09-29,8470,8470,8470,8470
1989-10-02,8510,8510,8510,8510
1989-10-03,8410,8410,8410,8410
1989-10-04,8420,8420,8420,8420
1989-10-05,8470,8470,8470,8470
1989-10-06,8530,8530,8530,8530
1989-10-09,8400,8400,8400,8400
1989-10-10,8375,8375,8375,8375
1989-10-11,8290,8290,8290,8290
1989-10-12,8290,8290,8290,8290
1989-10-13,8290,8290,8290,8290
1989-10-16,8210,8210,8210,8210
1989-10-17,8210,8210,8210,8210
1989-10-18,8050,8050,8050,8050
1989-10-19,7910,7910,7910,7910
1989-10-20,7820,7820,7820,7820
1989-10-23,7750,7750,7750,7750
1989-10-24,7800,7800,7800,7800
1989-10-25,7880,7880,7880,7880
1989-10-26,7840,7840,7840,7840
1989-10-27,7670,7670,7670,7670
1989-10-30,7655,7655,7655,7655
1989-10-31,7560,7560,7560,7560
1989-11-01,7210,7210,7210,7210
1989-11-02,7315,7315,7315,7315
1989-11-03,7240,7240,7240,7240
1989-11-06,7230,7230,7230,7230
1989-11-07,7400,7400,7400,7400
1989-11-08,7405,7405,7405,7405
1989-11-09,7340,7340,7340,7340
1989-11-10,7210,7210,7210,7210
1989-11-13,6950,6950,6950,6950
1989-11-14,7250,7250,7250,7250
1989-11-15,7100,7100,7100,7100
1989-11-16,7050,7050,7050,7050
1989-11-17,7025,7025,7025,7025
1989-11-20,7150,7150,7150,7150
1989-11-21,7075,7075,7075,7075
1989-11-22,6990,6990,6990,6990
1989-11-23,6915,6915,6915,6915
1989-11-24,6920,6920,6920,6920
1989-11-27,6845,6845,6845,6845
1989-11-28,6730,6730,6730,6730
1989-11-29,6600,6600,6600,6600
1989-11-30,6845,6845,6845,6845
1989-12-01,6790,6790,6790,6790
1989-12-04,6600,6600,6600,6600
1989-12-05,6625,6625,6625,6625
1989-12-06,6700,6700,6700,6700
1989-12-07,6800,6800,6800,6800
1989-12-08,6790,6790,6790,6790
1989-12-11,6825,6825,6825,6825
1989-12-12,6950,6950,6950,6950
1989-12-13,7220,7220,7220,7220
1989-12-14,7300,7300,7300,7300
1989-12-15,7100,7100,7100,7100
1989-12-18,7040,7040,7040,7040
1989-12-19,7070,7070,7070,7070
1989-12-20,7085,7085,7085,7085
1989-12-21,7080,7080,7080,7080
1989-12-22,7150,7150,7150,7150
1989-12-27,7140,7140,7140,7140
1989-12-28,7075,7075,7075,7075
1989-12-29,7060,7060,7060,7060
1990-01-02,6950,6950,6950,6950
1990-01-03,6850,6850,6850,6850
